ID	Title	Description			 price 	Availability 	Condition	Link	image link									
19556401	CAT	615C II	2004	3861	" $189,000.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556402	CAT	621	2024	1835	" $1,072,048.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556403	CAT	621	2024	1456	" $913,500.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556404	CAT	621G	2006	7945	" $372,750.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556405	CAT	621K	2020	2839	" $913,498.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556406	CAT	621G	2008	6866	" $372,750.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556407	CAT	621K	2018	5976	" $694,048.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556408	CAT	623K	2023	2595	" $780,255.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556409	CAT	623K	2023	2299	" $839,055.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556410	CAT	623K	2022	5742	" $425,000.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556411	CAT	623K	2024	1337	" $1,296,748.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556412	CAT	623G	2004	15388	" $231,000.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556413	CAT	623K	2016	12533	" $240,000.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556414	CAT	627K	2018	7028	" $656,250.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556415	CAT	627K	2019	7634	" $594,298.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556416	CAT	627K	2019	7031	" $371,805.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556417	CAT	627F FRT	0	0	" $18,000.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556418	CAT	627K	2022	4166	" $638,505.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556419	CAT	627K	2019	4675	" $791,698.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556420	CAT	631K	2023	3958	" $1,194,898.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556421	CAT	631K	2019	6893	" $869,398.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556422	CAT	631K	2023	2783	" $1,255,798.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556423	CAT	631K	2023	2350	" $1,456,348.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556424	CAT	631K	2023	1908	" $1,520,398.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556425	CAT	631K	2023	1404	" $1,454,248.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556426	CAT	631K	2023	2268	" $1,367,098.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556427	CAT	631K	2023	2673	" $1,180,999.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556428	CAT	631K	2023	2849	" $1,395,448.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556429	CAT	631G	2011	8803	" $462,000.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556430	CAT	631G	2011	8385	" $493,500.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556431	CAT	631K	2017	10178	" $341,250.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556432	CAT	631	2024	1286	" $1,472,098.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556433	CAT	631K	2023	4435	" $1,300,948.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556434	CAT	631K	2022	4486	" $739,100.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556435	CAT	631K	2022	4139	" $756,105.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556436	CAT	631K	2022	2921	" $839,055.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556437	CAT	631K	2021	4015	" $970,999.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556438	CAT	631K	2021	5353	" $1,152,898.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556439	CAT	631K	2021	5220	" $499,100.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556440	CAT	631K	2023	2047	" $1,303,048.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556441	CAT	631G	2011	8582	" $477,750.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556442	CAT	631G	2011	13467	" $288,750.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556443	CAT	631	2024	1312	" $1,586,548.95 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556444	CAT	631G	2011	8596	" $477,750.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556445	CAT	631G	2011	7373	" $519,750.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556446	CAT	631G	2011	8495	" $488,250.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556447	CAT	631K	2019	11459	" $350,000.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556448	CAT	631K	2018	13934	" $325,000.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
19556449	CAT	631K GUARD	0	0	" $8,185.00 "	in stock	used	https://americanironus.com/equipment-scrapers.html	https://americanironus.com/assets/img/equipment-categories/scrapers.png									
6564805	CAT	725	2024	533	 CALL 	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
6678230	CAT	725	2023	1606	" $416,955.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
6791655	CAT	725	2023	995	" $439,005.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
6905080	CAT	725	2024	1713	" $472,605.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
7018505	CAT	725	2024	545	" $625,798.95 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
7131930	CAT	725	2023	1078	" $476,805.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
7245355	CAT	725	2024	1442	" $481,005.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
7358780	CAT	725-745	0	0	" $2,200.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
7472205	CAT	725	2023	623	" $591,148.95 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
7585630	CAT	725	2023	1386	" $462,105.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
7699055	CAT	725	2024	565	" $608,998.95 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
7812480	CAT	725	2024	436	" $614,248.95 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
7925905	CAT	725	2022	2591	" $404,250.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
8039330	CAT	725C	2016	6652	" $157,500.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
8152755	CAT	725	2023	1485	" $407,505.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
8266180	ZZ	725 TG	0	0	" $8,204.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
8379605	CAT	725	2012	10767	" $107,500.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
8493030	CAT	725	2023	1509	" $426,405.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
8606455	CAT	725	2023	1351	" $433,755.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
8719880	CAT	730	2024	219877	" $525,105.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
8833305	CAT	730	2023	1652	" $455,805.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
8946730	CAT	730	2023	2525	" $431,655.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
9060155	CAT	730	2023	1699	" $500,955.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
9173580	CAT	730	2023	1287	" $493,500.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
9287005	CAT	730	2024	1826	" $503,055.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
9400430	CAT	730	2024	2291	" $504,105.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
9513855	CAT	730	2024	1494	" $547,155.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
9627280	CAT	730	2024	1169	" $538,755.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
9740705	CAT	730	2023	4779	" $381,255.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
9854130	CAT	730	2023	4547	" $381,255.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
9967555	CAT	730	2023	3366	" $378,000.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
10080980	CAT	730	2024	1933	" $504,105.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
